"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::77d9:8ec9:8ada:f849","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"2","0.000000","10.157.71.174","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"3","0.000000","10.157.71.174","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"4","0.000000","10.157.65.239","224.0.0.251","MDNS","145","Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local"
"5","0.000712","10.157.65.211","224.0.0.251","MDNS","77","Standard query 0x0000 A soporte_uaa.local, ""QM"" question"
"6","0.000712","fe80::6a4:95b3:539c:2a84","ff02::fb","MDNS","97","Standard query 0x0000 A soporte_uaa.local, ""QM"" question"
"7","0.000712","fe80::6a4:95b3:539c:2a84","ff02::fb","MDNS","97","Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question"
"8","0.001335","10.157.65.211","224.0.0.251","MDNS","77","Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question"
"9","0.001335","fe80::4343:107b:99c5:ffad","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"10","0.002032","10.157.65.191","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"11","0.102436","10.157.69.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"12","0.102436","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"13","0.102436","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.70.32? Tell 10.157.64.1"
"14","0.203930","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.17? Tell 10.157.64.1"
"15","0.203930","10.157.65.239","224.0.0.251","MDNS","145","Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local"
"16","0.307247","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.181? Tell 10.157.64.1"
"17","0.307247","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Leave group 224.0.0.252"
"18","0.307247","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","89","Standard query 0x064c ANY CHIA74417"
"19","0.307247","10.157.65.211","224.0.0.252","LLMNR","69","Standard query 0x064c ANY CHIA74417"
"20","0.307247","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"21","0.308022","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"22","0.308022","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.252 for any sources"
"23","0.406429","10.157.69.106","10.157.65.239","TCP","164","52502  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=1024 Len=110"
"24","0.417435","8a:00:f7:59:a8:91","Broadcast","ARP","56","Who has 10.157.64.1? Tell 10.157.65.171"
"25","0.417435","8a:00:f7:59:a8:91","Broadcast","ARP","56","Who has 10.157.64.1? Tell 10.157.65.171"
"26","0.417435","fe80::8cec:c5ff:fe77:fd13","ff02::16","ICMPv6","170","Multicast Listener Report Message v2"
"27","0.417435","8e:ec:c5:77:fd:13","Broadcast","ARP","56","Gratuitous ARP for 10.157.65.107 (Reply)"
"28","0.417435","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"29","0.418538","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","91","Standard query 0x25e9 AAAA soporte_uaa"
"30","0.418538","fe80::6a4:95b3:539c:2a84","ff02::fb","MDNS","97","Standard query 0x0000 A soporte_uaa.local, ""QM"" question"
"31","0.418538","10.157.65.211","10.157.71.255","NBNS","92","Name query NB SOPORTE_UAA<00>"
"32","0.449336","10.157.65.239","10.157.69.106","TCP","56","8009  >  52502 [ACK] Seq=1 Ack=111 Win=1161 Len=0"
"33","0.462986","10.157.65.239","10.157.69.106","TCP","169","8009  >  52502 [PSH, ACK] Seq=1 Ack=111 Win=1161 Len=115"
"34","0.507038","10.157.69.106","10.157.65.239","TCP","54","52502  >  8009 [ACK] Seq=111 Ack=116 Win=1024 Len=0"
"35","0.614178","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.100? Tell 10.157.64.1"
"36","0.614178","10.157.66.40","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"37","0.614178","fe80::7889:a8ff:febe:b68c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"38","0.614178","10.157.65.211","224.0.0.252","LLMNR","69","Standard query 0x064c ANY CHIA74417"
"39","0.614178","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","89","Standard query 0x064c ANY CHIA74417"
"40","0.715997","HuiZhouGaosh_7a:fe:71","Broadcast","ARP","56","Who has 10.157.70.160? Tell 10.157.65.239"
"41","0.715997","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.228? Tell 10.157.64.1"
"42","0.818740","10.157.66.40","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"43","0.818740","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.10? Tell 10.157.64.1"
"44","0.928193","fe80::8800:f7ff:fe59:a891","ff02::2","ICMPv6","70","Router Solicitation from 8a:00:f7:59:a8:91"
"45","0.928193","fe80::8800:f7ff:fe59:a891","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"46","0.928193","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.141? Tell 10.157.64.1"
"47","0.928757","fe80::6a4:95b3:539c:2a84","ff02::fb","MDNS","97","Standard query 0x0000 A soporte_uaa.local, ""QM"" question"
"48","0.928757","fe80::6a4:95b3:539c:2a84","ff02::fb","MDNS","97","Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question"
"49","0.928757","10.157.65.211","224.0.0.251","MDNS","77","Standard query 0x0000 A soporte_uaa.local, ""QM"" question"
"50","0.929258","10.157.65.211","224.0.0.252","LLMNR","71","Standard query 0xca08 A soporte_uaa"
"51","0.929258","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","91","Standard query 0xca08 A soporte_uaa"
"52","0.929258","10.157.65.211","224.0.0.252","LLMNR","71","Standard query 0x25e9 AAAA soporte_uaa"
"53","0.929836","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","91","Standard query 0x25e9 AAAA soporte_uaa"
"54","0.929836","10.157.65.211","224.0.0.251","MDNS","77","Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question"
"55","0.930738","10.157.65.239","224.0.0.251","MDNS","145","Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local"
"56","1.023239","LiteonTechno_75:1d:37","Broadcast","ARP","56","Who has 10.157.65.239? Tell 10.157.65.191"
"57","1.023239","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.237? Tell 10.157.64.1"
"58","1.126161","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Leave group 224.0.0.252"
"59","1.126161","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"60","1.126161","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"61","1.126161","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","89","Standard query 0x32f7 ANY CHIA74417"
"62","1.126798","10.157.65.211","224.0.0.252","LLMNR","69","Standard query 0x32f7 ANY CHIA74417"
"63","1.126798","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.252 for any sources"
"64","1.126798","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.70.32? Tell 10.157.64.1"
"65","1.127349","10.157.65.239","224.0.0.251","MDNS","145","Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local"
"66","1.127349","10.157.65.191","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"67","1.228703","10.157.64.73","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"68","1.331335","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.181? Tell 10.157.64.1"
"69","1.331335","10.157.67.100","224.0.0.251","MDNS","132","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question PTR _B143C57E._sub._googlecast._tcp.local, ""QM"" question PTR OneScreen-6786._googlecast._tcp.local"
"70","1.331335","fe80::18a7:aff3:3487:b498","ff02::fb","MDNS","152","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question PTR _B143C57E._sub._googlecast._tcp.local, ""QM"" question PTR OneScreen-6786._googlecast._tcp.local"
"71","1.331335","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0xc7fce4d5"
"72","1.331335","72:fc:67:ca:bc:f6","Broadcast","ARP","56","Who has 10.157.69.56? (ARP Probe)"
"73","1.433900","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.181? Tell 10.157.64.1"
"74","1.642344","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.252 for any sources"
"75","1.642344","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"76","1.642344","fe80::84a2:80ff:fe20:a803","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"77","1.642344","10.157.64.73","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"78","1.643012","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.64.197? Tell 10.157.64.1"
"79","1.643012","10.157.65.239","224.0.0.251","MDNS","193","Standard query response 0x0000 SRV, cache flush 0 0 51040 es-D43D52499B68.local A, cache flush 10.157.65.239 NSEC, cache flush es-D43D52499B68.local NSEC, cache flush D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local"
"80","1.643012","10.157.69.241","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"81","1.740891","72:fc:67:ca:bc:f6","Broadcast","ARP","56","Who has 10.157.69.56? (ARP Probe)"
"82","1.740891","fe80::77d9:8ec9:8ada:f849","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"83","1.740891","10.157.71.174","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"84","1.740891","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.228? Tell 10.157.64.1"
"85","1.843128","10.157.69.241","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"86","1.843128","10.157.65.239","255.255.255.255","UDP","103","48689  >  48689 Len=61"
"87","1.843128","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.10? Tell 10.157.64.1"
"88","1.945408","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.17? Tell 10.157.64.1"
"89","1.945408","10.157.65.239","224.0.0.251","MDNS","411","Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR OneScreen-6786._airplay._tcp.local PTR _raop._tcp.local SRV, cache flush 0 0 51010 es-D43D52499B68.local NSEC, cache flush OneScreen-6786._airplay._tcp.local"
"90","1.945408","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.141? Tell 10.157.64.1"
"91","1.945408","10.157.65.211","10.157.71.255","NBNS","92","Name query NB SOPORTE_UAA<00>"
"92","1.946361","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.61? Tell 10.157.64.1"
"93","2.055396","72:fc:67:ca:bc:f6","Broadcast","ARP","56","Who has 10.157.69.56? (ARP Probe)"
"94","2.055396","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"95","2.055396","10.157.65.211","224.0.0.22","IGMPv3","62","Membership Report / Leave group 224.0.0.251 / Leave group 224.0.0.252"
"96","2.055396","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"97","2.055396","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"98","2.055396","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.251 for any sources"
"99","2.056238","10.157.65.211","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.252 for any sources"
"100","2.056238","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"101","2.056238","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","89","Standard query 0xc324 ANY CHIA74417"
"102","2.056700","10.157.65.211","224.0.0.252","LLMNR","69","Standard query 0xc324 ANY CHIA74417"
"103","2.056700","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"104","2.056700","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.237? Tell 10.157.64.1"
"105","2.150190","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.203? Tell 10.157.64.1"
"106","2.150190","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.70.32? Tell 10.157.64.1"
"107","2.252591","10.157.66.236","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"108","2.252591","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.100? Tell 10.157.64.1"
"109","2.252591","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8d5b0da1"
"110","2.355166","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.181? Tell 10.157.64.1"
"111","2.355166","72:fc:67:ca:bc:f6","Broadcast","ARP","56","ARP Announcement for 10.157.69.56"
"112","2.458154","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.69.220? Tell 10.157.64.1"
"113","2.458154","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.181? Tell 10.157.64.1"
"114","2.458154","10.157.65.211","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources"
"115","2.458154","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"116","2.560143","169.254.174.210","239.255.255.250","UDP/XML","1124","61846  >  3702 Len=1082"
"117","2.560143","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.64.197? Tell 10.157.64.1"
"118","2.662161","10.157.66.40","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"119","2.662161","fe80::7889:a8ff:febe:b68c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"120","2.662161","72:fc:67:ca:bc:f6","Broadcast","ARP","56","ARP Announcement for 10.157.69.56"
"121","2.766046","10.157.65.239","224.0.0.251","MDNS","193","Standard query response 0x0000 SRV, cache flush 0 0 51040 es-D43D52499B68.local A, cache flush 10.157.65.239 NSEC, cache flush es-D43D52499B68.local NSEC, cache flush D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local"
"122","2.766046","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.228? Tell 10.157.64.1"
"123","2.766046","10.157.66.40","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"124","2.866832","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.10? Tell 10.157.64.1"
"125","2.866832","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.17? Tell 10.157.64.1"
"126","2.969716","fe80::15f1:a44:8b76:7a77","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"127","2.969716","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.141? Tell 10.157.64.1"
"128","2.969716","72:fc:67:ca:bc:f6","Broadcast","ARP","56","ARP Announcement for 10.157.69.56"
"129","2.969716","72:fc:67:ca:bc:f6","Broadcast","ARP","56","Who has 10.157.64.1? Tell 10.157.69.56"
"130","3.074640","10.157.69.56","224.0.0.251","IGMPv2","56","Membership Report group 224.0.0.251"
"131","3.074640","10.157.69.148","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"132","3.075215","fe80::cbf:2dc1:c366:9d57","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"133","3.075215","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.237? Tell 10.157.64.1"
"134","3.075215","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.61? Tell 10.157.64.1"
"135","3.075813","fe80::2f5a:974a:4e57:5608","ff02::1:2","DHCPv6","120","Information-request XID: 0xf0efc1 CID: 000100012d63ea6f2c58b9d3aaa1 "
"136","3.075813","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.203? Tell 10.157.64.1"
"137","3.174295","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.70.32? Tell 10.157.64.1"
"138","3.174295","10.157.64.73","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"139","3.174295","10.157.66.236","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"140","3.277130","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.100? Tell 10.157.64.1"
"141","3.277130","AzureWaveTec_ed:6d:26","Broadcast","ARP","56","Who has 10.157.68.33? Tell 10.157.71.164"
"142","3.379350","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.181? Tell 10.157.64.1"
"143","3.379350","::","ff02::1:ffcc:5618","ICMPv6","86","Neighbor Solicitation for fe80::fc2a:e8ff:fecc:5618"
"144","3.379350","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"145","3.379350","0.0.0.0","255.255.255.255","DHCP","348","DHCP Discover - Transaction ID 0x47ebcbbd"
"146","3.379855","10.157.68.221","10.157.71.255","UDP","63","59122  >  32412 Len=21"
"147","3.483696","AzureWaveTec_ed:6d:26","Broadcast","ARP","56","Who has 10.157.68.33? Tell 10.157.71.164"
"148","3.483696","10.157.68.221","10.157.71.255","UDP","63","59124  >  32414 Len=21"
"149","3.483696","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.69.220? Tell 10.157.64.1"
"150","3.484991","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.181? Tell 10.157.64.1"
"151","3.583390","10.157.64.73","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"152","3.583390","fe80::84a2:80ff:fe20:a803","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"153","3.583390","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.64.197? Tell 10.157.64.1"
"154","3.646669","10.157.69.106","64.31.17.14","TCP","55","57402  >  443 [ACK] Seq=1 Ack=1 Win=1021 Len=1"
"155","3.675380","fe80::6074:55ff:fe12:b795","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"156","3.675380","10.157.69.241","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"157","3.675380","10.157.69.241","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"158","3.789637","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.67.228? Tell 10.157.64.1"
"159","3.795950","64.31.17.14","10.157.69.106","TCP","66","443  >  57402 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"160","3.891427","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"161","3.891427","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.68.10? Tell 10.157.64.1"
"162","3.891427","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.71.17? Tell 10.157.64.1"
"163","3.994467","Sophos_fc:00:09","Broadcast","ARP","56","Who has 10.157.66.141? Tell 10.157.64.1"
"164","3.994467","fe80::6a4:95b3:539c:2a84","ff02::1:3","LLMNR","89","Standard query 0x09e3 ANY CHIA74417"
"165","3.994467","fe80::6a4:95b3:539c:2a84","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"166","3.994467","10.157.65.211","224.0.0.252","LLMNR","69","Standard query 0x09e3 ANY CHIA74417"
